unit,sex,age,nace_r2,geo\time	2018 	2017 	2016 	2015 	2014 	2013 	2012 	2011 	2010 	2009 	2008 
PC,F,Y15-64,G-I,TR	3.7 	3.0 	3.0 	2.8 	2.9 b	2.5 	2.5 	2.2 	2.4 	2.5 	: 
PC,F,Y15-64,G-I,UK	0.4 	0.4 	0.6 	0.7 	0.7 	0.6 	0.5 	0.5 	0.6 	0.6 	0.7 b
PC,F,Y15-64,J-N,AT	1.1 u	: u	: u	1.1 u	: u	: u	: u	1.3 u	1.2 u	: u	1.2 bu
PC,F,Y15-64,J-N,BE	4.6 	3.5 b	3.5 	3.7 	3.5 	3.1 	3.5 	3.1 	3.1 	3.3 	3.5 b
PC,F,Y15-64,J-N,BG	: u	: u	: u	: u	: u	: u	: u	: bu	: bu	: u	: bu
PC,F,Y15-64,J-N,CH	1.3 u	1.5 	1.0 u	1.3 u	1.3 u	1.4 u	1.2 u	1.8 	1.7 b	1.4 u	1.3 bu
PC,F,Y15-64,J-N,CY	: u	: u	: c	: u	: c	: c	: c	: c	: u	: bu	: bu
PC,F,Y15-64,J-N,CZ	0.3 u	0.2 u	0.2 u	0.5 u	0.5 u	0.8 u	0.9 u	0.6 bu	0.9 u	0.9 u	0.5 bu
PC,F,Y15-64,J-N,DE	0.4 	0.5 	0.5 	0.4 	0.5 	0.4 	0.5 	0.7 	0.7 b	0.7 	0.7 b
PC,F,Y15-64,J-N,DK	: u	: bu	1.9 bu	: u	: u	: u	: u	: u	: u	1.2 u	: bu
PC,F,Y15-64,J-N,EA19	2.2 	2.2 	2.3 	2.1 	2.2 	2.1 	2.2 	2.2 	2.2 	2.3 	2.5 b
PC,F,Y15-64,J-N,EE	: u	: u	: u	: u	: u	: u	: u	: u	: c	: u	: bc
PC,F,Y15-64,J-N,EL	1.4 u	1.2 u	1.8 u	0.9 u	: u	1.2 u	1.0 u	: u	: u	: bu	1.1 bu
PC,F,Y15-64,J-N,ES	3.3 	3.6 	3.5 	3.3 	3.9 	3.5 	3.4 	2.9 	3.4 	4.0 b	4.8 b
